"","simulated eta","2PL eta","RanItem eta"
"eta[107]",-0.721474158557493,-2.36718443455336,-2.11687380567373
"eta[108]",-1.12997786255792,-2.83558885836761,-2.25145418430275
"eta[109]",-2.80607747570589,-2.98077292318915,-3.62742734203114
"eta[110]",-2.27598339261606,-2.72823738201872,-4.11579455999289
"eta[111]",-1.5335272400999,-1.15917728101484,-1.84945798424518
"eta[112]",-1.61913053034567,-0.33590126266905,-0.124333383806568
"eta[113]",-2.49597128979332,-1.51060149589258,-2.65507915150549
"eta[114]",0.514510831447746,-0.7053666685147,-0.0879208447018217
"eta[115]",1.31874672735499,-0.687565554530195,0.116853767512408
"eta[116]",-1.60475071693906,-1.36161336028681,-1.72521836481379
"eta[117]",-1.97142004726938,-1.47895863482495,-1.8964935094122
"eta[118]",-4.02548321007421,-1.69951336350451,-2.1155009931702
"eta[119]",-3.67288927936868,-1.81882930112446,-3.2106449211264
"eta[120]",-6.18901121594006,-1.64807192649062,-3.34737498788045
"eta[121]",-1.17729839399993,-1.16469574392402,-1.68149455547357
"eta[122]",-0.825350913616631,-0.294515545866539,-0.122518971680073
"eta[123]",-2.18113270167473,-1.52574713049106,-2.42351390889311
"eta[124]",-0.148435094419216,-1.59897839123975,-0.986158466205077
"eta[125]",-0.932214658710913,-0.662598194959159,0.218750095694349
"eta[126]",-0.975281788103479,-1.37961317293977,-1.61037568370176
"eta[127]",-0.339927437655421,-0.575200181610506,-0.729762515130135
"eta[128]",-2.04940865533813,-1.71914464896826,-2.03494884615614
"eta[129]",-2.44020008484857,-1.7813577958684,-3.02332688696128
"eta[130]",-5.18054109156304,-1.65707735243373,-3.00660085464227
"eta[131]",-0.659580427992165,-0.316137295369721,-0.547755708885488
"eta[132]",-0.911157984408821,-1.11153398035395,-1.03511745636591
"eta[133]",0.584089045861086,-1.49580489548597,-2.11198259985233
"eta[134]",0.939807154058096,-1.57045687848966,-0.862517835898232
"eta[135]",0.914371859445101,-0.620525077246428,0.330709156824807
"eta[136]",-1.29615938496876,-1.3609969210788,-1.51797017660414
"eta[137]",-0.626644696040485,-1.41728102465555,-1.56942668573065
"eta[138]",1.4859930192199,-0.835569473015541,-1.00043232259847
"eta[139]",-0.260467628965862,-1.75941031826302,-2.77792856819763
"eta[140]",0.790598080306982,-1.60832535779585,-2.60688256013694
"eta[141]",-1.86338638678066,-0.0785561547756902,-0.320553152305846
"eta[142]",-1.1783751961947,-0.811404719957298,-0.932778790965779
"eta[143]",-2.41718928799653,-1.14309652960642,-1.61332030201736
"eta[144]",0.298846047380227,-0.378085829588475,0.222720931438235
"eta[145]",0.834346138380595,-0.373470917603588,0.574668644533064
"eta[146]",-1.16417501001414,-0.168073292720965,-0.410992451129375
"eta[147]",-1.15472370934364,-1.12045670807206,-1.39040024714834
"eta[148]",-2.95459980155708,-1.28190068627069,-1.8362577061235
"eta[149]",-1.90931440024439,-1.37381874056643,-2.45755095027562
"eta[150]",-3.15329803592767,-1.26322085414462,-2.02051364961413
"eta[151]",-1.99688608959614,-1.91450495867571,-2.44444571087588
"eta[152]",0.346000589376356,-1.13200544894625,-0.158814524128263
"eta[153]",-1.71768924840833,-2.47659442517878,-3.70284066216976
"eta[154]",-0.0103688310042886,-2.50781390588252,-1.35831583282881
"eta[155]",-1.72523121355534,-2.33553123413515,-1.4092594985048
"eta[156]",-2.82813983898284,-2.45567640179854,-2.12513326461074
"eta[157]",-1.3538668402206,-2.41419534906189,-2.36473299426181
"eta[158]",-2.61562317502726,-2.83856045965535,-2.38555547964266
"eta[159]",-4.13657410652337,-2.98194610533626,-4.02706250924183
"eta[160]",-4.88427184260279,-2.69776076891819,-4.87552658959866
"eta[161]",-2.96264317527918,-1.87329525423978,-2.25802176106923
"eta[162]",-1.29597048805743,-1.93502730123517,-1.11927974768032
"eta[163]",-0.760182844008411,-2.42779215805071,-3.41746865167946
"eta[164]",-1.04167979018401,-1.54973051927546,-0.352741456786481
"eta[165]",-0.0292998913961722,-2.26725985413635,-1.22181529612616
"eta[166]",-1.22821040895357,-2.39222475133068,-2.06764718395538
"eta[167]",-1.32010739241422,-2.33791363455445,-2.23613914320195
"eta[168]",-2.84154907915543,-2.79453355328854,-2.32186040419652
"eta[169]",-2.36892114715037,-2.90704884294848,-3.81557658862771
"eta[170]",-3.17865220375462,-2.64813417762383,-4.46968475378259
"eta[171]",-1.73175132902506,-1.10012176872908,-1.64219983185196
"eta[172]",-0.639805453572449,-1.02777929201369,-1.05991854584935
"eta[173]",-1.75414650825128,-1.36228376531874,-2.33669925017452
"eta[174]",0.296114776857223,-0.611668661728262,-0.0628487184845098
"eta[175]",-0.448957139989982,-1.38354692592797,-0.726375200646197
